date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:43	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:42%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17245683	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.00113.delayed	(from )
10:28:50	1334727/1334727	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:45%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.10919.delayed	(from )
10:28:53	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:53%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=371&instituicao=271&config=1&onepage=e242c05dc501fe278f31ddfd1ae17390&estudante=&acesso=17245705	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.3e2c2.delayed	(from )
10:28:54	1333106/1333106	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:28:51%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente8246.html	(from )
10:28:56	3008461/3008461	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:54%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=371&instituicao=271&config=1&onepage=e242c05dc501fe278f31ddfd1ae17390&estudante=	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.48577.delayed	(from )
10:28:58	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:58%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=372&instituicao=271&config=1&onepage=ede2db6ab2ec88d549f010cc868ea471&estudante=&acesso=17246055	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.63454.delayed	(from )
10:28:59	3006840/3006840	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:28:56%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=371&instituicao=271&config=1&onepage=e242c05dc501fe278f31ddfd1ae17390&estudante=&acesso=17414478	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente1b24.html	(from )
10:29:01	3172027/3172027	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:28:58%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=372&instituicao=271&config=1&onepage=ede2db6ab2ec88d549f010cc868ea471&estudante=	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.7f274.delayed	(from )
10:29:02	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:29:02%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=373&instituicao=271&config=1&onepage=f92887343e773d7f6450fa8a8a505021&estudante=&acesso=17247481	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.94cf7.delayed	(from )
10:29:04	3170406/3170406	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:29:01%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=372&instituicao=271&config=1&onepage=ede2db6ab2ec88d549f010cc868ea471&estudante=&acesso=17414481	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente6795.html	(from )
10:29:05	1332117/1332117	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:29:04%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=373&instituicao=271&config=1&onepage=f92887343e773d7f6450fa8a8a505021&estudante=	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componente.a6e64.delayed	(from )
10:29:08	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2013:29:08%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
10:29:09	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472)
10:29:09	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472)
10:29:10	1330496/1330496	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:29:06%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=373&instituicao=271&config=1&onepage=f92887343e773d7f6450fa8a8a505021&estudante=&acesso=17414483	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/componentec135.html	(from )
10:29:11	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472)
10:29:12	13403/13403	---M-Z	200	added ('OK')	application/javascript	etag:%2280856a2412ccdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	C:/Meus%20Sites/Eletricidade%20I/scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472)
10:29:12	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:%226408b256-79b2%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/Meus%20Sites/Eletricidade%20I/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=370&instituicao=271&config=1&onepage=4f92954201db861e5fcb033090e80897&estudante=&acesso=17414472)
