date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:49	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17192071	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.0116b.delayed	(from )
09:57:52	252965/252965	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.131cb.delayed	(from )
09:57:53	251340/251340	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2012:57:52%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente24cc.html	(from )
09:57:53	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:53%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13108&instituicao=271&config=1&onepage=6ff7a9589d2fdada31a4c5676f8397a5&estudante=&acesso=17192547	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.3b523.delayed	(from )
09:57:56	266524/266524	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:53%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13108&instituicao=271&config=1&onepage=6ff7a9589d2fdada31a4c5676f8397a5&estudante=	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.4f416.delayed	(from )
09:57:58	264899/264899	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2012:57:56%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13108&instituicao=271&config=1&onepage=6ff7a9589d2fdada31a4c5676f8397a5&estudante=&acesso=17413437	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componentebeda.html	(from )
09:57:58	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:57%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13110&instituicao=271&config=1&onepage=69469aa481a4ddd9bf037c1af4f25eca&estudante=&acesso=17192665	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.6c147.delayed	(from )
09:58:01	254403/254403	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:57:59%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13110&instituicao=271&config=1&onepage=69469aa481a4ddd9bf037c1af4f25eca&estudante=	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.7ce2b.delayed	(from )
09:58:03	252778/252778	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2012:58:01%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13110&instituicao=271&config=1&onepage=69469aa481a4ddd9bf037c1af4f25eca&estudante=&acesso=17413439	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componentebb29.html	(from )
09:58:03	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:58:03%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13112&instituicao=271&config=1&onepage=29ad326dbb959a8482f7d3c3a6b588fb&estudante=&acesso=17192677	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.981eb.delayed	(from )
09:58:05	379280/379280	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2012:58:04%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13112&instituicao=271&config=1&onepage=29ad326dbb959a8482f7d3c3a6b588fb&estudante=	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componente.a2336.delayed	(from )
09:58:13	377655/377655	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2012:58:06%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=13112&instituicao=271&config=1&onepage=29ad326dbb959a8482f7d3c3a6b588fb&estudante=&acesso=17413441	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/componentefcbe.html	(from )
09:58:13	150978/150978	---M--	200	added ('OK')	text/html	etag:%22041db4c59a6b86355d6816f17d3b7c0f%22	https://s3.us-east-2.amazonaws.com/game.telesapiens.com.br/LEGISLACAO_E_ETICA_APLICADA_AO_SETOR_ELETRICO/index.html	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/s3.us-east-2.amazonaws.com/game.telesapiens.com.br/LEGISLACAO_E_ETICA_APLICADA_AO_SETOR_ELETRICO/index.html	(from )
09:58:13	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2012:58:13%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
09:58:14	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:14	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:15	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:17	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:18	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:19	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
09:58:19	12357/12357	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Legisla%c3%a7%c3%a3o%20e%20%c3%89tica%20Aplicada%20ao%20Setor%20El%c3%a9trico/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=13106&instituicao=271&config=1&onepage=ba73530c8bf89e6cc66a4f1a8515c935&estudante=&acesso=17413434)
