date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:38	6936500/6936500	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2012:18:34%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/componente597e.html	(from )
09:18:56	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Dec%202025%2012:18:40%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
09:18:57	4655494/4655494	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2012:18:36%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=4830&instituicao=271&config=1&onepage=4f626d6384dc9a87d8e3302995ef2ae8&estudante=&acesso=18797492	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/componente9208.html	(from )
09:18:57	3149696/3149696	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2012:18:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=4836&instituicao=271&config=1&onepage=3a4ddc5b621383fd0427ecaa0f1cbb70&estudante=&acesso=18797486	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/componentea59d.html	(from )
09:18:57	6075098/6075098	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2012:18:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=4833&instituicao=271&config=1&onepage=6d562caebaddd52ed29a8934edd65125&estudante=&acesso=18797476	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/componente3a72.html	(from )
09:18:58	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:18:58	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:18:59	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:01	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:02	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:03	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:03	11993/11993	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:03	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:04	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:06	1094040/1094040	---M--	200	added ('OK')	application/javascript	etag:%22396a54e38bd91:0%22	https://oni360.com.br/externo/onicreative/template/3/dist/hls.js	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/oni360.com.br/externo/onicreative/template/3/dist/hls.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:07	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:09	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:09	6843738/6843738	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2012:19:05%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&scorm=f8537080872b78f1ea615dd2b5e4018b&acesso=18797460&componente=trilha&estudante=	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/componente29d0.html	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:10	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:11	19953/19953	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:12	19808/19808	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:12	14356/14356	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:13	32777/32777	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:14	19967/19967	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
09:19:15	28880/28880	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	C:/Meus%20Sites/L%c3%b3gica%20Matem%c3%a1tica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=4827&instituicao=271&config=1&onepage=f8537080872b78f1ea615dd2b5e4018b&estudante=&acesso=18797460)
