date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:34	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:33%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2448&instituicao=271&config=1&onepage=09a377c284e8c64768157173b8451243&estudante=&acesso=17059250	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.04a54.delayed	(from )
00:27:36	3378667/3378667	---MC-	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:34%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2448&instituicao=271&config=1&onepage=09a377c284e8c64768157173b8451243&estudante=	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.1e089.delayed	(from )
00:27:39	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2450&instituicao=271&config=1&onepage=c60c6dc4d920cf4b88b57032f2c7638d&estudante=&acesso=17059394	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.3e9ca.delayed	(from )
00:27:40	3377044/3377044	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:27:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2448&instituicao=271&config=1&onepage=09a377c284e8c64768157173b8451243&estudante=&acesso=17147177	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente7565.html	(from )
00:27:41	1778696/1778696	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2450&instituicao=271&config=1&onepage=c60c6dc4d920cf4b88b57032f2c7638d&estudante=	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.43efc.delayed	(from )
00:27:42	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:42%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2456&instituicao=271&config=1&onepage=aa7056bb5a5e249e4e380a36d3478f58&estudante=&acesso=17059399	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.6be17.delayed	(from )
00:27:43	1777073/1777073	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:27:41%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2450&instituicao=271&config=1&onepage=c60c6dc4d920cf4b88b57032f2c7638d&estudante=&acesso=17147178	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente8116.html	(from )
00:27:48	2577798/2577798	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:43%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2456&instituicao=271&config=1&onepage=aa7056bb5a5e249e4e380a36d3478f58&estudante=	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.71d8d.delayed	(from )
00:27:50	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:27:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2641&instituicao=271&config=1&onepage=f57975ef548fbfdba2219b9e0a05a477&estudante=&acesso=17059428	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente.93e02.delayed	(from )
00:27:50	2576175/2576175	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:27:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2456&instituicao=271&config=1&onepage=aa7056bb5a5e249e4e380a36d3478f58&estudante=&acesso=17147179	C:/Meus%20Sites/4-M%c3%a1quinas%20Mec%c3%a2nicas/scorm.onilearning.com.br/conteudo/componente9dac.html	(from )
