date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:51	1850520/1850520	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2018:19:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2314&instituicao=271&config=1&onepage=934ca5716b2de2072c3ab2f680acbf71&estudante=&acesso=17160851	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/componente406e.html	(from )
15:19:55	2211507/2211507	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2018:19:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2037&instituicao=271&config=1&onepage=2fbe24d9481d141aea01d18df1016bbb&estudante=&acesso=17160753	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/componente65ca.html	(from )
15:19:56	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2018:19:53%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
15:19:56	2211507/2211507	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2018:19:38%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2037&instituicao=271&config=1&onepage=2fbe24d9481d141aea01d18df1016bbb&estudante=&acesso=17160754	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/componentebfc9.html	(from )
15:20:00	2864375/2864375	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2018:19:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/componente7e85.html	(from )
15:20:01	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:01	1345/1345	---M--	200	added ('OK')	text/css	etag:%22c13985c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:02	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:04	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:06	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:06	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:08	11988/11988	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:08	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:08	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
15:20:11	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Users/Admin/Desktop/5-Mec%c3%a2nica%20T%c3%a9cnica/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2035&instituicao=271&config=1&onepage=7bff43af19b80680e9698f557af76f3b&estudante=&acesso=17160752)
