date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:48	8962404/8962404	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:05:44%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/componente7cf7.html	(from )
14:05:51	4576199/4576199	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:05:45%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6951&instituicao=271&config=1&onepage=591ef03e1247263f4bfec5e6e725c3ec&estudante=&acesso=18337778	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/componente4ce5.html	(from )
14:05:52	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2017:05:50%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
14:05:53	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:53	6637170/6637170	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:05:47%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6955&instituicao=271&config=1&onepage=cef8513c753dbd07cd3dfc2838f7be9a&estudante=&acesso=18337786	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/componented538.html	(from )
14:05:53	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:54	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:56	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:57	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:57	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:57	11988/11988	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:59	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:05:59	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:02	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:02	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:03	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:03	10455266/10455266	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:05:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7020&instituicao=271&config=1&onepage=501b8c23c4d969cab5a319ec1d0e5979&estudante=&acesso=18337794	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/componenteeaab.html	(from )
14:06:04	19953/19953	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:05	8876218/8876218	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:06:00%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&scorm=13b3abf1bb8ac5545ffaac8641732b58&acesso=18337764&componente=trilha&estudante=	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/componente330c.html	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:07	19808/19808	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
14:06:07	14356/14356	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	C:/Meus%20Sites/Organiza%c3%a7%c3%a3o%20e%20Gest%c3%a3o%20do%20Trabalho%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=6484&instituicao=271&config=1&onepage=13b3abf1bb8ac5545ffaac8641732b58&estudante=&acesso=18337764)
