date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:50	2835591/2835591	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:14:47%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/componente3e29.html	(from )
14:14:51	3734125/3734125	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:14:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=9174&instituicao=271&config=1&onepage=bbcc5d6078b4ef61bed319fad439bc88&estudante=&acesso=18337954	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/componentee067.html	(from )
14:14:52	2539316/2539316	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:14:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=9177&instituicao=271&config=1&onepage=9ce1b2d259926e9afa76ac2ee25814c8&estudante=&acesso=18337968	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/componente679a.html	(from )
14:14:53	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2017:14:52%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
14:14:56	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944)
14:14:57	4378685/4378685	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:14:52%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=9180&instituicao=271&config=1&onepage=e4ef537f8d19f53e8da17a46caacaad6&estudante=&acesso=18337976	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/componentec776.html	(from )
14:14:57	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944)
14:14:58	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944)
14:15:01	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944)
14:15:01	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Or%c3%a7amentos%20e%20Custos%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=9171&instituicao=271&config=1&onepage=1c95d46d696aef7a66da59095f051b18&estudante=&acesso=18337944)
