date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:07	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:06%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2460&instituicao=271&config=1&onepage=3c16ae079d09e5a37fdd78474c82491e&estudante=&acesso=17257941	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.09186.delayed	(from )
10:35:31	4051999/4051999	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:09%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2460&instituicao=271&config=1&onepage=3c16ae079d09e5a37fdd78474c82491e&estudante=	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.1b054.delayed	(from )
10:35:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:31%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2465&instituicao=271&config=1&onepage=745305b8ea65269440b731563487d8e2&estudante=&acesso=17257968	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.3ad5e.delayed	(from )
10:35:38	1890478/1890478	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:33%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2465&instituicao=271&config=1&onepage=745305b8ea65269440b731563487d8e2&estudante=	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.4a762.delayed	(from )
10:35:40	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:40%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2469&instituicao=271&config=1&onepage=0835c31b744e50e57a84ef9db8780ce7&estudante=&acesso=17258092	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.68473.delayed	(from )
10:35:46	1599999/1599999	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:41%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2469&instituicao=271&config=1&onepage=0835c31b744e50e57a84ef9db8780ce7&estudante=	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.78a71.delayed	(from )
10:35:46	1888855/1888855	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:35:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2465&instituicao=271&config=1&onepage=745305b8ea65269440b731563487d8e2&estudante=&acesso=17414701	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componentec008.html	(from )
10:35:47	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:47%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2473&instituicao=271&config=1&onepage=6e783ee353f866b66d6e25e760d2b91d&estudante=&acesso=17258095	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.95b83.delayed	(from )
10:35:51	2549457/2549457	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2473&instituicao=271&config=1&onepage=6e783ee353f866b66d6e25e760d2b91d&estudante=	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente.a04fa.delayed	(from )
10:35:54	4050376/4050376	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:35:31%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2460&instituicao=271&config=1&onepage=3c16ae079d09e5a37fdd78474c82491e&estudante=&acesso=17414685	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componentec2c7.html	(from )
10:35:54	1598376/1598376	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:35:46%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2469&instituicao=271&config=1&onepage=0835c31b744e50e57a84ef9db8780ce7&estudante=&acesso=17414708	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/componente6220.html	(from )
10:35:54	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2013:35:54%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
10:35:56	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2460&instituicao=271&config=1&onepage=3c16ae079d09e5a37fdd78474c82491e&estudante=&acesso=17414685)
10:35:57	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Comandos%20Eletroeletr%c3%b4nicos/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2460&instituicao=271&config=1&onepage=3c16ae079d09e5a37fdd78474c82491e&estudante=&acesso=17414685)
