date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:33	1232838/1232838	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2018:56:31%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2168&instituicao=271&config=1&onepage=8d5d7beda216076c2d04df4462b37434&estudante=&acesso=18683069	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/componentee3c8.html	(from )
15:56:41	1296800/1296800	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2018:56:32%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2170&instituicao=271&config=1&onepage=fa2442200c3e932eb3de5e60c4056072&estudante=&acesso=18683073	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/componente7eee.html	(from )
15:56:41	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Nov%202025%2018:56:36%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
15:56:42	696413/696413	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2018:56:29%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/componente65b3.html	(from )
15:56:43	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065)
15:56:44	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065)
15:56:45	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065)
15:56:46	4312801/4312801	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2018:56:34%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2198&instituicao=271&config=1&onepage=e8b5a6fe6d2975fd631616dfbf4939e2&estudante=&acesso=18683079	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/componentef997.html	(from )
15:56:50	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065)
15:56:54	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Constru%c3%a7%c3%a3o%20e%20Anima%c3%a7%c3%a3o%20de%20Cen%c3%a1rios%20e%20Objetos%202D%20e%203D/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2166&instituicao=271&config=1&onepage=613e5cd6e6c75ff585a182cd02efedd6&estudante=&acesso=18683065)
