date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:12	3071816/3071816	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2015:04:09%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/componenteee40.html	(from )
12:04:21	2729822/2729822	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2015:04:12%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3703&instituicao=271&config=1&onepage=b33a98db02897e3ee360af73a030b83b&estudante=&acesso=17478193	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/componente1de3.html	(from )
12:04:21	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Oct%202025%2015:04:13%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
12:04:22	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:22	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:23	3007336/3007336	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2015:04:12%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3706&instituicao=271&config=1&onepage=971390524db4f72895cfc2fad820641a&estudante=&acesso=17478201	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/componente2a9a.html	(from )
12:04:23	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:23	2688358/2688358	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2015:04:10%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3700&instituicao=271&config=1&onepage=3585003ac42c7d36a2f6d0715fef2067&estudante=&acesso=17478185	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/componentedda8.html	(from )
12:04:25	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:26	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:27	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:28	12357/12357	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:28	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:28	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:30	1094040/1094040	---M--	200	added ('OK')	application/javascript	etag:%22396a54e38bd91:0%22	https://oni360.com.br/externo/onicreative/template/3/dist/hls.js	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/oni360.com.br/externo/onicreative/template/3/dist/hls.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:31	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:32	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:32	2978450/2978450	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2015:04:30%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&scorm=3f1ffddb4e1c69d2dd61ef560f036797&acesso=17478181&componente=trilha&estudante=	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/componente6e02.html	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:32	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:34	19953/19953	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:35	19808/19808	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:35	14356/14356	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:36	32777/32777	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:37	19967/19967	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
12:04:38	28880/28880	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Digital/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3697&instituicao=271&config=1&onepage=3f1ffddb4e1c69d2dd61ef560f036797&estudante=&acesso=17478181)
