date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:48	1884641/1884641	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:03:44%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/componente87c9.html	(from )
16:04:02	2178697/2178697	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:03:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3655&instituicao=271&config=1&onepage=fe595c49a89c31c5b486589c461cc543&estudante=&acesso=18682967	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/componente98d0.html	(from )
16:04:02	1746085/1746085	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:03:50%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3658&instituicao=271&config=1&onepage=34ebdff07a95def50e01d7ac20c40f32&estudante=&acesso=18682971	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/componente95e9.html	(from )
16:04:02	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Nov%202025%2019:03:53%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
16:04:03	2718910/2718910	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:03:46%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3652&instituicao=271&config=1&onepage=fa36625c44341045389f6080866ea632&estudante=&acesso=18682962	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/componentee514.html	(from )
16:04:04	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:05	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:06	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:11	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:13	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:14	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:15	12357/12357	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:16	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
16:04:17	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/Eletr%c3%b4nica%20Industrial/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3649&instituicao=271&config=1&onepage=a9e24b3390a7c044ef1c6b6a7ed358da&estudante=&acesso=18682955)
