date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:48	5436372/5436372	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:02:46%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/componentef856.html	(from )
14:02:51	418788/418788	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:02:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2360&instituicao=271&config=1&onepage=e0a346791d61eb53e9baa90a13125e20&estudante=&acesso=18337745	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/componente8a74.html	(from )
14:02:52	1524846/1524846	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:02:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2229&instituicao=271&config=1&onepage=eb62939fc6e9ad2e22c1a3ce9f9b3033&estudante=&acesso=18337740	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/componente17ef.html	(from )
14:02:52	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2017:02:49%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
14:02:53	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721)
14:02:53	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721)
14:02:54	5386000/5386000	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2017:02:47%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=2013&instituicao=271&config=1&onepage=f0aa4a2cd589225c4ac7bb1355493e1e&estudante=&acesso=18337732	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/componente31fa.html	(from )
14:02:54	27791/27791	---M--	200	added ('OK')	text/css	etag:%22ef77286ba51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721)
14:02:55	13403/13403	---M--	200	added ('OK')	application/javascript	etag:%22f87a992412ccdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721)
14:02:56	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Equipamentos%20e%20Instala%c3%a7%c3%b5es%20Industriais/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=2011&instituicao=271&config=1&onepage=53016287fb9d4f67bdf7b0495d48163c&estudante=&acesso=18337721)
