date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:27	2395752/2395752	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:28:22%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/componente3333.html	(from )
16:28:32	2272194/2272194	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:28:24%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3017&instituicao=271&config=1&onepage=843b15178ed0721cbf2dd2a910a6d7d7&estudante=&acesso=18683038	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/componente8197.html	(from )
16:28:32	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Nov%202025%2019:28:31%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
16:28:34	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023)
16:28:36	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023)
16:28:38	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023)
16:28:39	2348719/2348719	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:28:26%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3020&instituicao=271&config=1&onepage=166c81028787588f07c362d8eeb15762&estudante=&acesso=18683044	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/componente09df.html	(from )
16:28:42	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023)
16:28:43	3805165/3805165	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2019:28:29%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3023&instituicao=271&config=1&onepage=eb4b641c5d26df1a0e6ab57e94f07e7b&estudante=&acesso=18683054	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/componentebecd.html	(from )
16:28:44	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Instala%c3%a7%c3%b5es%20El%c3%a9tricas%20de%20M%c3%a9dia%20e%20Alta%20Tens%c3%a3o/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3014&instituicao=271&config=1&onepage=8cb2cff6c84190cc0193b4453371831c&estudante=&acesso=18683023)
