date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:07	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:07%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6279&instituicao=271&config=1&onepage=9ec41121a38d6b12eef3cb3b918e4a4b&estudante=&acesso=17057967	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.0bd2b.delayed	(from )
08:55:15	1479366/1479366	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:07%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6279&instituicao=271&config=1&onepage=9ec41121a38d6b12eef3cb3b918e4a4b&estudante=	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.1cb5c.delayed	(from )
08:55:17	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:17%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6282&instituicao=271&config=1&onepage=77c92618512fe22ebff6a71e42d5f266&estudante=&acesso=17057988	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.3d8d0.delayed	(from )
08:55:22	1477743/1477743	---M--	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2011:55:15%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6279&instituicao=271&config=1&onepage=9ec41121a38d6b12eef3cb3b918e4a4b&estudante=&acesso=17111266	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente1069.html	(from )
08:55:22	1915609/1915609	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:18%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6282&instituicao=271&config=1&onepage=77c92618512fe22ebff6a71e42d5f266&estudante=	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.4ca6f.delayed	(from )
08:55:24	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:23%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6285&instituicao=271&config=1&onepage=ac6dac0d0e95659af48e84966e71f706&estudante=&acesso=17058007	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.69e2b.delayed	(from )
08:55:34	1913986/1913986	---M--	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2011:55:23%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6282&instituicao=271&config=1&onepage=77c92618512fe22ebff6a71e42d5f266&estudante=&acesso=17111267	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componented707.html	(from )
08:55:36	1922082/1922082	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:25%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6285&instituicao=271&config=1&onepage=ac6dac0d0e95659af48e84966e71f706&estudante=	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.7a17b.delayed	(from )
08:55:38	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Sep%202025%2011:55:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6478&instituicao=271&config=1&onepage=5138834b87f300c47aeddd08a1aafba5&estudante=&acesso=17058031	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente.90b27.delayed	(from )
08:55:43	1920459/1920459	---M--	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2011:55:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=6285&instituicao=271&config=1&onepage=ac6dac0d0e95659af48e84966e71f706&estudante=&acesso=17111268	C:/Meus%20Sites/Fundamentos%20da%20Mec%c3%a2nica%20Cl%c3%a1ssica%20e%20Qu%c3%a2ntica/scorm.onilearning.com.br/conteudo/componente2942.html	(from )
