date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:35	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:34%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3249&instituicao=271&config=1&onepage=7f05626db34e1b80aae3bfa46b10eecd&estudante=&acesso=17058251	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.050d4.delayed	(from )
00:18:47	5101304/5101304	---MC-	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3249&instituicao=271&config=1&onepage=7f05626db34e1b80aae3bfa46b10eecd&estudante=	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.1995c.delayed	(from )
00:18:49	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:49%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3253&instituicao=271&config=1&onepage=b050cf2abb226657b47c7bce82e03bff&estudante=&acesso=17058316	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.38dc4.delayed	(from )
00:18:51	2660234/2660234	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:50%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3253&instituicao=271&config=1&onepage=b050cf2abb226657b47c7bce82e03bff&estudante=	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.4937b.delayed	(from )
00:18:53	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:52%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3256&instituicao=271&config=1&onepage=046b337b5f25e0fe738d3140af3e1e99&estudante=&acesso=17058337	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.6444e.delayed	(from )
00:18:53	2658611/2658611	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:18:52%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3253&instituicao=271&config=1&onepage=b050cf2abb226657b47c7bce82e03bff&estudante=&acesso=17147131	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componenteae97.html	(from )
00:18:54	5099681/5099681	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:18:48%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3249&instituicao=271&config=1&onepage=7f05626db34e1b80aae3bfa46b10eecd&estudante=&acesso=17147130	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componentecf5e.html	(from )
00:18:56	2774887/2774887	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:54%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3256&instituicao=271&config=1&onepage=046b337b5f25e0fe738d3140af3e1e99&estudante=	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.744c1.delayed	(from )
00:18:57	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:57%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3259&instituicao=271&config=1&onepage=f123f249b1fb02a5cf0496279850d095&estudante=&acesso=17058357	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.9412a.delayed	(from )
00:18:59	2773264/2773264	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:18:56%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3256&instituicao=271&config=1&onepage=046b337b5f25e0fe738d3140af3e1e99&estudante=&acesso=17147132	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente3cf6.html	(from )
00:19:01	2400372/2400372	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:18:58%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3259&instituicao=271&config=1&onepage=f123f249b1fb02a5cf0496279850d095&estudante=	C:/Meus%20Sites/2-Ferramental%20de%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.a53f6.delayed	(from )
00:19:02	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2003:19:02%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
