date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:33%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=574&instituicao=271&config=1&onepage=b6f41627bf898bfebbfdc423efed8336&estudante=&acesso=17059000	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.0764e.delayed	(from )
00:23:35	3199541/3199541	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:34%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=574&instituicao=271&config=1&onepage=b6f41627bf898bfebbfdc423efed8336&estudante=	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.104b2.delayed	(from )
00:23:37	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:36%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=577&instituicao=271&config=1&onepage=0ba4efe237f451dbb887b777872ebdfd&estudante=&acesso=17059061	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.31761.delayed	(from )
00:23:38	3197920/3197920	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:23:36%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=574&instituicao=271&config=1&onepage=b6f41627bf898bfebbfdc423efed8336&estudante=&acesso=17147156	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente012b.html	(from )
00:23:39	2521755/2521755	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=577&instituicao=271&config=1&onepage=0ba4efe237f451dbb887b777872ebdfd&estudante=	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.4fd7b.delayed	(from )
00:23:41	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:41%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=579&instituicao=271&config=1&onepage=2cf07476ac53f4c5fd2fcb93c926af51&estudante=&acesso=17059151	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.67e70.delayed	(from )
00:23:42	2520134/2520134	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:23:40%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=577&instituicao=271&config=1&onepage=0ba4efe237f451dbb887b777872ebdfd&estudante=&acesso=17147157	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente6726.html	(from )
00:23:43	2404337/2404337	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:42%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=579&instituicao=271&config=1&onepage=2cf07476ac53f4c5fd2fcb93c926af51&estudante=	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.7b067.delayed	(from )
00:23:45	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:23:44%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=581&instituicao=271&config=1&onepage=68d52829464b1addd9aa01f48411eac8&estudante=&acesso=17059193	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente.95abd.delayed	(from )
00:23:45	2402716/2402716	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:23:43%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=579&instituicao=271&config=1&onepage=2cf07476ac53f4c5fd2fcb93c926af51&estudante=&acesso=17147158	C:/Meus%20Sites/3-Interpreta%c3%a7%c3%a3o%20de%20Desenhos%20T%c3%a9cnicos/scorm.onilearning.com.br/conteudo/componente5840.html	(from )
