date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:02	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:02%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7600&instituicao=271&config=1&onepage=60229cb9ea63a7956399132b9d2067e6&estudante=&acesso=17059680	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.0e38e.delayed	(from )
00:36:06	3142698/3142698	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:04%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7600&instituicao=271&config=1&onepage=60229cb9ea63a7956399132b9d2067e6&estudante=	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.1704b.delayed	(from )
00:36:07	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:07%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7601&instituicao=271&config=1&onepage=da06d7a98a1c0364652b4a673ddef0e4&estudante=&acesso=17059695	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.3dd2e.delayed	(from )
00:36:11	5042854/5042854	---MC-	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:09%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7601&instituicao=271&config=1&onepage=da06d7a98a1c0364652b4a673ddef0e4&estudante=	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.44f16.delayed	(from )
00:36:13	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:12%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7602&instituicao=271&config=1&onepage=7419ec9fc8bca9627ee50193b92781f3&estudante=&acesso=17059806	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.66d13.delayed	(from )
00:36:14	5041231/5041231	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:36:12%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7601&instituicao=271&config=1&onepage=da06d7a98a1c0364652b4a673ddef0e4&estudante=&acesso=17147234	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente2901.html	(from )
00:36:14	3141075/3141075	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:36:06%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7600&instituicao=271&config=1&onepage=60229cb9ea63a7956399132b9d2067e6&estudante=&acesso=17147233	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componented946.html	(from )
00:36:24	3904193/3904193	---MC-	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:14%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7602&instituicao=271&config=1&onepage=7419ec9fc8bca9627ee50193b92781f3&estudante=	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.71d3f.delayed	(from )
00:36:27	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Sep%202025%2003:36:26%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7603&instituicao=271&config=1&onepage=c95da671fd4a7ee3c917052bddcb3665&estudante=&acesso=17059885	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente.9477b.delayed	(from )
00:36:29	3902570/3902570	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2003:36:26%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=7602&instituicao=271&config=1&onepage=7419ec9fc8bca9627ee50193b92781f3&estudante=&acesso=17147235	C:/Meus%20Sites/6-Usinagem%20e%20Conforma%c3%a7%c3%a3o%20Mec%c3%a2nica/scorm.onilearning.com.br/conteudo/componente021e.html	(from )
