date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:06	2313768/2313768	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Dec%202025%2004:05:04%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3991&instituicao=271&config=1&onepage=468bbd74126df6d5e137e88d0e91bd54&estudante=&acesso=18691021	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente4c68.html	(from )
01:05:13	2949000/2949000	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Dec%202025%2004:05:02%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente0630.html	(from )
01:05:13	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Dec%202025%2004:05:08%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
01:05:16	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:16	2309150/2309150	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Dec%202025%2004:05:07%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3997&instituicao=271&config=1&onepage=afa771b37db5de38da3f70ed672e45bd&estudante=&acesso=18691027	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componentefb6a.html	(from )
01:05:16	3521368/3521368	---MC-	200	added ('OK')	text/html	date:Mon,%2001%20Dec%202025%2004:05:05%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3994&instituicao=271&config=1&onepage=6c70ae90f395a5de599f87e00b6926d6&estudante=&acesso=18691022	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente7370.html	(from )
01:05:17	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:18	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:20	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:20	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:21	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:21	12357/12357	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:22	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:22	12868/12868	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:25	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:26	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:26	2861229/2861229	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Dec%202025%2004:05:24%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&scorm=cc4983f211134b2889506127eb29770c&acesso=18691020&componente=trilha&estudante=	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente2a5f.html	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:26	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:27	19953/19953	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:28	19808/19808	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:29	14356/14356	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:30	32777/32777	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-7.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:30	19967/19967	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-8.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:31	28880/28880	---M--	200	added ('OK')	image/png	etag:%225dbafa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-9.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:32	12902/12902	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-10.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-10.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:33	22281/22281	---M--	200	added ('OK')	image/png	etag:%22251efa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-11.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-11.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
01:05:33	9498/9498	---M--	200	added ('OK')	image/png	etag:%22251efa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-12.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-12.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18691020)
