date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:56	2949001/2949001	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2016:52:54%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componented986.html	(from )
13:52:57	2313769/2313769	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2016:52:56%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3991&instituicao=271&config=1&onepage=468bbd74126df6d5e137e88d0e91bd54&estudante=&acesso=18337676	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente8052.html	(from )
13:52:58	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2016:52:58%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
13:52:59	2309151/2309151	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2016:52:58%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=3997&instituicao=271&config=1&onepage=afa771b37db5de38da3f70ed672e45bd&estudante=&acesso=18337688	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componentea8b1.html	(from )
13:52:59	26633/26633	---M--	200	added ('OK')	image/png	etag:%22508476afebecdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
13:53:00	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
13:53:01	27791/27791	---M--	200	added ('OK')	text/css	etag:%22ef77286ba51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
13:53:01	13403/13403	---M--	200	added ('OK')	application/javascript	etag:%22f87a992412ccdb1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/js/novaTrilha.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
13:53:03	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
13:53:04	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/M%c3%a1quinas%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=3988&instituicao=271&config=1&onepage=cc4983f211134b2889506127eb29770c&estudante=&acesso=18337665)
