date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:59	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:10:59%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17222874	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.07dbc.delayed	(from )
10:11:16	4618959/4618959	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:03%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.19edc.delayed	(from )
10:11:18	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:18%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=848&instituicao=271&config=1&onepage=374c7c8c97cce391cfc7471f3d42d548&estudante=&acesso=17222915	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.38459.delayed	(from )
10:11:21	4937946/4937946	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:19%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=848&instituicao=271&config=1&onepage=374c7c8c97cce391cfc7471f3d42d548&estudante=	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.491cf.delayed	(from )
10:11:24	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:23%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1426&instituicao=271&config=1&onepage=94da3c1d860ee2f4f1bfef02f7046f87&estudante=&acesso=17222937	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.66e62.delayed	(from )
10:11:25	4617338/4617338	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:11:17%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componentef961.html	(from )
10:11:37	5214959/5214959	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:26%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1426&instituicao=271&config=1&onepage=94da3c1d860ee2f4f1bfef02f7046f87&estudante=	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.75c6c.delayed	(from )
10:11:38	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1445&instituicao=271&config=1&onepage=733b9cdb7409755db773dbd784f67cfe&estudante=&acesso=17222989	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.97065.delayed	(from )
10:11:40	4936325/4936325	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:11:22%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=848&instituicao=271&config=1&onepage=374c7c8c97cce391cfc7471f3d42d548&estudante=&acesso=17413902	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente00ae.html	(from )
10:11:56	5213336/5213336	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:11:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1426&instituicao=271&config=1&onepage=94da3c1d860ee2f4f1bfef02f7046f87&estudante=&acesso=17413905	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente89a3.html	(from )
10:12:44	8553070/8553070	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:11:39%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1445&instituicao=271&config=1&onepage=733b9cdb7409755db773dbd784f67cfe&estudante=	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/componente.a7357.delayed	(from )
10:12:47	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2013:12:47%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
10:12:48	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:48	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:49	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:51	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:51	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:52	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:52	11988/11988	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:52	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:54	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:56	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:57	1094040/1094040	---M--	200	added ('OK')	application/javascript	etag:%22396a54e38bd91:0%22	https://oni360.com.br/externo/onicreative/template/3/dist/hls.js	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/oni360.com.br/externo/onicreative/template/3/dist/hls.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:57	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:58	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:59	19953/19953	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-4.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:12:59	19808/19808	---M--	200	added ('OK')	image/png	etag:%223d6cfa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-5.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
10:13:00	14356/14356	---M--	200	added ('OK')	image/png	etag:%224e93fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	C:/Meus%20Sites/Projetos%20El%c3%a9tricos/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-6.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=847&instituicao=271&config=1&onepage=903daee8bd57667c8ac4395998865742&estudante=&acesso=17413895)
