date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:23	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:22%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17225710	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.00ef8.delayed	(from )
10:24:26	887170/887170	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:24%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.137de.delayed	(from )
10:24:27	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:27%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1419&instituicao=271&config=1&onepage=f5cd521afe69285a9f01384ce8a213f5&estudante=&acesso=17225726	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.34634.delayed	(from )
10:24:27	885547/885547	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:24:26%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente2882.html	(from )
10:24:32	1338829/1338829	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:28%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1419&instituicao=271&config=1&onepage=f5cd521afe69285a9f01384ce8a213f5&estudante=	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.436e4.delayed	(from )
10:24:33	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:32%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1421&instituicao=271&config=1&onepage=74c4b0af41630505bc08b88b46ca679f&estudante=&acesso=17225742	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.63fd6.delayed	(from )
10:24:35	1337206/1337206	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:24:32%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1419&instituicao=271&config=1&onepage=f5cd521afe69285a9f01384ce8a213f5&estudante=&acesso=17414343	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente3b1f.html	(from )
10:24:36	808222/808222	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:33%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1421&instituicao=271&config=1&onepage=74c4b0af41630505bc08b88b46ca679f&estudante=	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.76e0d.delayed	(from )
10:24:38	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1423&instituicao=271&config=1&onepage=2bb394b9680033c13defe520099edba3&estudante=&acesso=17225759	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.93023.delayed	(from )
10:24:39	567722/567722	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:38%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1423&instituicao=271&config=1&onepage=2bb394b9680033c13defe520099edba3&estudante=	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componente.a03fe.delayed	(from )
10:24:41	566099/566099	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:24:40%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1423&instituicao=271&config=1&onepage=2bb394b9680033c13defe520099edba3&estudante=&acesso=17414350	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componentebed9.html	(from )
10:24:42	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2013:24:41%20GMT	https://scorm.onilearning.com.br/robots.txt		(from )
10:24:43	26633/26633	---M--	200	added ('OK')	image/png	etag:%22d26085c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/ONIfavicon-96x96.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:43	806599/806599	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:24:37%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1421&instituicao=271&config=1&onepage=74c4b0af41630505bc08b88b46ca679f&estudante=&acesso=17414347	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componentec736.html	(from )
10:24:44	1325/1325	---M--	200	added ('OK')	text/css	etag:%224ef798604438dc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/reset.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/reset.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:45	27791/27791	---M-Z	200	added ('OK')	text/css	etag:%2280baa06aa51ddc1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/novaTrilha.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:47	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_contrast.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:47	1298/1298	---M--	200	added ('OK')	text/css	etag:%22a9eb84c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/css/acess_bar.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:48	5760/5760	---M-Z	200	added ('OK')	application/javascript	etag:%2280156c4077db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/js/acess_scripts.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:48	11988/11988	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2213133-n+q1flyUhQcTQlCvNONC51P8Ap0%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:49	11920/11920	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-NwF2ejU9knAYHLwpS4Iszl9H1Q4%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:49	11925/11925	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2214f3d-r7RKcT9NxSbiv/2gU12nv8/LRKk%22	https://cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/cdn.jsdelivr.net/npm/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:52	15373/15373	---M--	200	added ('OK')	image/png	etag:%22cf7f991689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-1.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:52	19377/19377	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-2.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:53	12516/12516	---M--	200	added ('OK')	image/png	etag:%222945fa91689db1:0%22	https://scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/assets/img/iconografia/modelo-3/icone-3.png	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:54	1094040/1094040	---M--	200	added ('OK')	application/javascript	etag:%22396a54e38bd91:0%22	https://oni360.com.br/externo/onicreative/template/3/dist/hls.js	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/oni360.com.br/externo/onicreative/template/3/dist/hls.js	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
10:24:54	795308/795308	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2013:24:50%20GMT	https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&scorm=6f84a31f1f987d8b9992d8e0bf18908b&acesso=17414339&componente=trilha&estudante=	C:/Meus%20Sites/Seguran%c3%a7a%20em%20Instala%c3%a7%c3%b5es%20El%c3%a9tricas/scorm.onilearning.com.br/conteudo/componentecaaa.html	(from https://scorm.onilearning.com.br/conteudo/componente.php?id=1417&instituicao=271&config=1&onepage=6f84a31f1f987d8b9992d8e0bf18908b&estudante=&acesso=17414339)
